,Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
200,DetonatioN Gaming,Suggest,Logitech G Pro X Superlight Magenta,1000,400,0.7,280,1,Alienware AW2518H,240,RTX 2080 Ti,1280x960,Xten Mousepad (Custom),Logitech G913,Logitech G Pro X Headset
201,Pioneers,thief,Zowie EC2-A,1000,800,0.3,240,1,BenQ XL2540,240,GTX 1080,1920x1080,Zowie G-SR,Corsair STRAFE,HyperX Cloud II
202,REJECT,Reita,Logitech G Pro Wireless,1000,800,0.44,352,0.9,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
203,REJECT,takej,Logitech G Pro Wireless,1000,400,0.434,173,0.82,BenQ XL2546S,240,,1280x960,Logitech G640,Logitech G913,Logitech G Pro X
204,REJECT,Zepher,Logitech G403,1000,400,0.55,220,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
205,Excel,Patitek,Logitech G Pro X Superlight Black,1000,400,0.82,328,1,AOC AG251FZ2E,240,RTX 2080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
206,Excel,chiwawa,Zowie S2 Divina Edition,1000,400,0.89,356,1,BenQ XL2546,240,GTX 1660 Super,1920x1080,Zowie G-SR,Zet Blade Pro,HyperX Cloud II
207,Team RA'AD,phaze,Logitech G Pro X Superlight,1000,400,0.7,280,1.1,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha
208,MIBR,frz,Logitech G Pro Wireless,1000,800,0.3,240,1,Alienware AW2518HF,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
209,FAV Gaming,Fisker,Logitech G Pro X Superlight Black,1000,400,0.44,176,1,Alienware AW2521H,240,,1920x1080,Zowie G-SR,SteelSeries Apex Pro,JBL Quantum ONE
